,MLSNumber,DOM,List Price,City,Age,CompAvgAge,InteriorSqFt,CompAvgSqFt,Bedrooms,BathsFull,BathsHalf,NumComps,hoaTotalFee,MonthlyMortgage,TaxMonthlyTotal,TotalMonthlyCosts,CompAvgRentRevenue,MonthlyProfit,CapRate
4154,VAAR166752,57,559000.0,Arlington,1944,1944.0,1531,1435.642857142857,2,2,0.0,28.0,434.0,2112.70,415.3333333333333,2987.0333333333333,2324.1071428571427,-662.9261904761906,-7.955114285714288
4157,VAAR166972,63,377000.0,Arlington,1973,1973.0,851,926.3333333333334,1,1,0.0,6.0,560.0,1274.98,268.6666666666667,2128.6466666666665,1944.1666666666667,-184.4799999999998,-2.2137599999999975
4162,VAAX246388,63,1799000.0,Alexandria,1998,,3192,,4,3,2.0,0.0,287.0,7820.21,1692.2733333333333,9824.483333333334,,,
4169,VAPW501074,56,365000.0,Woodbridge,2014,2015.0,1324,1318.2857142857142,3,2,1.0,7.0,136.0,1219.75,341.5,1722.25,2007.142857142857,284.8928571428571,3.418714285714285
4170,VAAX249012,63,1885000.0,Alexandria,2002,,3425,,3,4,1.0,0.0,168.75,8216.05,1758.3333333333333,10168.133333333333,,,
4174,VALO417776,63,2475000.0,Leesburg,0,,5773,,4,4,1.0,0.0,545.0,10931.72,389.75,11891.47,,,
4176,VAAR166928,56,574900.0,Arlington,1972,1972.6,1000,1093.5,2,2,1.0,10.0,300.0,2185.88,474.0833333333333,2984.9633333333336,1627.5,-1357.4633333333336,-16.28956
4178,VAAR167050,57,374500.0,Arlington,2005,,850,,1,1,0.0,0.0,335.0,1263.48,287.1666666666667,1910.6466666666668,,,
4184,VAAX248846,63,369900.0,Alexandria,1995,1995.0,1152,1183.3333333333333,2,2,0.0,6.0,316.0,1242.30,331.6666666666667,1914.9666666666667,2074.8333333333335,159.8666666666668,1.9184000000000014
4188,VALO417722,63,940000.0,Ashburn,2004,2002.0,5353,3871.0,4,4,1.0,1.0,310.83,3866.38,724.25,4926.46,3800.0,-1126.46,-13.51752
4190,VAAR167012,63,579000.0,Arlington,2006,2006.375,1039,1148.4375,2,2,0.0,16.0,542.0,2204.76,446.5833333333333,3218.3433333333337,2661.25,-557.0933333333337,-6.685120000000004
4191,VAFX1144634,63,389000.0,Alexandria,2012,,1155,,2,2,0.0,0.0,640.0,1330.22,340.0833333333333,2335.3033333333333,,,
4197,VAPW501120,63,475000.0,Woodbridge,2010,2008.6666666666667,1973,1974.5,4,3,1.0,6.0,277.0,1726.06,376.9166666666667,2404.9766666666665,2416.6666666666665,11.690000000000055,0.14028000000000065
4207,VAPW500106,64,345000.0,Woodbridge,2017,2017.0,1511,1533.5,2,2,1.0,2.0,190.0,1127.69,324.5833333333333,1667.2733333333333,2037.5,370.2266666666667,4.44272
4221,VAAR166218,64,649000.0,Arlington,2007,2006.3529411764705,1074,1161.6470588235295,2,2,0.0,17.0,551.0,2526.95,400.5833333333333,3503.5333333333333,2687.0588235294117,-816.4745098039216,-9.797694117647058
